thread 0. word #0. length: 3, partial: 0
thread 0. word #1. length: 1, partial: 0
thread 0. word #2. length: 1, partial: 0
thread 0. word #3. length: 1, partial: 0
thread 0. word #4. length: 1, partial: 0
thread 0. word #5. length: 1, partial: 0
thread 0. word #6. length: 1, partial: 0
thread 0. word #7. length: 1, partial: 0
thread 0. word #8. length: 1, partial: 0
thread 0. word #9. length: 1, partial: 0
thread 0. word #10. length: 1, partial: 0
thread 0. word #11. length: 1, partial: 0
thread 0. word #12. length: 1, partial: 0
thread 0. word #13. length: 1, partial: 0
thread 0. word #14. length: 1, partial: 0
thread 0. word #15. length: 1, partial: 0
thread 0. word #16. length: 1, partial: 0
thread 0. word #17. length: 2, partial: 0
thread 0. word #18. length: 2, partial: 0
thread 0. word #19. length: 2, partial: 0
thread 0. word #20. length: 1, partial: 0
thread 0. word #21. length: 2, partial: 0
thread 0. word #22. length: 2, partial: 0
thread 0. word #23. length: 2, partial: 0
thread 0. word #24. length: 1, partial: 0
thread 0. word #25. length: 1, partial: 0
thread 0. word #26. length: 1, partial: 0
thread 0. word #27. length: 1, partial: 0
thread 0. word #28. length: 1, partial: 0
thread 0. word #29. length: 1, partial: 0
thread 0. word #30. length: 1, partial: 0
thread 0. word #31. length: 1, partial: 0
thread 0. word #32. length: 1, partial: 0
thread 0. word #33. length: 1, partial: 0
thread 0. word #34. length: 1, partial: 0
thread 0. word #35. length: 2, partial: 0
thread 0. word #36. length: 1, partial: 0
thread 0. word #37. length: 1, partial: 0
thread 0. word #38. length: 1, partial: 0
thread 0. word #39. length: 1, partial: 0
thread 0. word #40. length: 1, partial: 0
thread 0. word #41. length: 1, partial: 0
thread 0. word #42. length: 2, partial: 0
thread 0. word #43. length: 2, partial: 0
thread 0. word #44. length: 2, partial: 0
thread 0. word #45. length: 2, partial: 0
thread 0. word #46. length: 1, partial: 0
thread 0. word #47. length: 2, partial: 0
thread 0. word #48. length: 1, partial: 0
thread 0. word #49. length: 2, partial: 0
thread 0. word #50. length: 2, partial: 0
thread 0. word #51. length: 2, partial: 0
thread 0. word #52. length: 2, partial: 0
thread 0. word #53. length: 27, partial: 0
thread 0. word #54. length: 3, partial: 0
thread 0. word #55. length: 3, partial: 0
thread 0. word #56. length: 3, partial: 0
thread 0. word #57. length: 1, partial: 0
thread 0. word #58. length: 2, partial: 0
thread 0. word #59. length: 1, partial: 0
thread 0. word #60. length: 1, partial: 0
thread 0. word #61. length: 1, partial: 0
thread 0. word #62. length: 3, partial: 0
