16 threads
thread 0. word #0. length: 3, partial: 0
thread 0. word #1. length: 1, partial: 0
thread 0. word #2. length: 1, partial: 0
thread 0. word #3. length: 1, partial: 0
thread 0. word #4. length: 1, partial: 0
thread 0. word #5. length: 1, partial: 0
thread 0. word #6. length: 1, partial: 0
thread 0. word #7. length: 1, partial: 0
thread 0. word #8. length: 1, partial: 0
thread 1. word #0. length: 1, partial: 0
thread 1. word #1. length: 1, partial: 0
thread 1. word #2. length: 1, partial: 0
thread 3. word #0. length: 1, partial: 0
thread 3. word #1. length: 1, partial: 0
thread 4. word #0. length: 1, partial: 0
thread 4. word #1. length: 1, partial: 0
thread 4. word #2. length: 1, partial: 0
thread 5. word #0. length: 1, partial: 0
thread 5. word #1. length: 1, partial: 0
thread 5. word #2. length: 2, partial: 0
thread 5. word #3. length: 2, partial: 0
thread 5. word #4. length: 2, partial: 0
thread 6. word #0. length: 1, partial: 0
thread 6. word #1. length: 2, partial: 0
thread 6. word #2. length: 2, partial: 0
thread 6. word #3. length: 2, partial: 0
thread 7. word #0. length: 1, partial: 0
thread 7. word #1. length: 1, partial: 0
thread 7. word #2. length: 1, partial: 0
thread 7. word #3. length: 1, partial: 0
thread 7. word #4. length: 1, partial: 0
thread 8. word #0. length: 1, partial: 0
thread 8. word #1. length: 1, partial: 0
thread 8. word #2. length: 1, partial: 0
thread 8. word #3. length: 1, partial: 0
thread 8. word #4. length: 1, partial: 0
thread 8. word #5. length: 1, partial: 0
thread 8. word #6. length: 2, partial: 0
thread 9. word #0. length: 1, partial: 0
thread 9. word #1. length: 1, partial: 0
thread 9. word #2. length: 1, partial: 0
thread 9. word #3. length: 1, partial: 0
thread 9. word #4. length: 1, partial: 0
thread 9. word #5. length: 1, partial: 0
thread 9. word #6. length: 2, partial: 0
thread 9. word #7. length: 2, partial: 0
thread 10. word #0. length: 2, partial: 0
thread 10. word #1. length: 2, partial: 0
thread 10. word #2. length: 1, partial: 0
thread 10. word #3. length: 2, partial: 0
thread 11. word #0. length: 1, partial: 0
thread 11. word #1. length: 2, partial: 0
thread 11. word #2. length: 2, partial: 0
thread 11. word #3. length: 2, partial: 0
thread 11. word #4. length: 2, partial: 0
thread 12. word #0. length: 27, partial: 0
thread 13. word #0. length: 3, partial: 0
thread 13. word #1. length: 3, partial: 0
thread 13. word #2. length: 1, partial: 0
thread 13. word #3. length: 2, partial: 0
thread 13. word #4. length: 1, partial: 0
thread 13. word #5. length: 1, partial: 0
thread 14. word #0. length: 3, partial: 0
